C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.02349,0.8922760000000001,0.8717959999999999,0.000488879,8.20176,3.04315,-0.10913699999999998,1.33054,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.014029548215980212,0.00013993124385512315,,,0.1,0.0,,1,1
1.01052,0.8742040000000001,0.8651,-0.00669593,8.19506,3.01744,-0.10798900000000002,1.31368,,,,2,2,3,,-0.0004270205684213622,-5.741672934452889e-05,-0.0224625914710598,,,2,0.0024999999999999983,1,0,1,,2,0,0.014029548215980216,0.00013993124385512315,,,0.1,9.916643308080803e-10,,1,1
1.00114,0.855558,0.8545860000000001,-0.0105135,8.18455,2.99246,-0.106842,1.30148,,,,2,3,4,,-0.0008621062741287261,-0.00011527156286135724,-0.024923760552396524,,,3,0.0049999999999999975,1,0,1,,2,0,0.014029548215980235,0.00013993124385512315,,,0.1,9.916643308080807e-10,,1,1
0.9935940000000001,0.836528,0.841922,-0.0126646,8.17188,2.96814,-0.105697,1.29167,,,,2,4,5,,-0.0010992241938015143,-9.119133888251694e-05,-0.027412373667162093,,,4,0.0075,1,0,1,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,9.916643308080818e-10,,1,1
0.987058,0.817248,0.8279639999999999,-0.013958100000000001,8.15793,2.94446,-0.104553,1.2831700000000001,,,,2,5,6,,-0.0013339131706866765,-0.0002539284363258638,-0.029896007642055397,,,5,0.01,1,0,1,,2,0,0.014029548215980186,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
0.9811120000000001,0.7978109999999999,0.81317,-0.014793700000000002,8.143130000000001,2.92142,-0.10341199999999999,1.27545,,,,2,6,7,,-0.0017156142552055918,-0.0005872405228940427,-0.032344110445253135,,,6,0.012499999999999994,1,0,1,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,9.916643308080782e-10,,1,1
0.9755450000000001,0.7782859999999999,0.797796,-0.015374299999999999,8.12776,2.89899,-0.102272,1.26821,,,,2,7,8,,-0.002128685313096623,-0.0006477547771913274,-0.03480900604672587,,,7,0.014999999999999994,1,0,1,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
0.9702430000000001,0.758718,0.781988,-0.015808199999999998,8.11195,2.87718,-0.101135,1.26132,,,,2,8,9,,-0.002531819261472914,-0.0007042094878721119,-0.03727564259987035,,,8,0.017499999999999995,1,0,1,,2,0,0.012914629521439833,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
0.0762801,0.9095030000000001,0.8713069999999999,-0.619197,8.20127,2.8576599999999996,-0.1,0.0991641,0.002349821361603641,1115.8845735449959,2.622129408,1,10,1,7.0,-0.0026884093970001065,-0.0011205904925505597,-0.03953356441814471,2.6197795866383964,1.8699284573082775,9,0.019801326693244747,1,0,1,1.9801326693244747,2,0,0.014029548215980216,0.00013993124385512315,,,0.1,9.128574380909327e-10,0.9349642286541388,1,1
1.0438399999999999,0.925499,0.856477,0.0148304,8.18543,3.06968,-0.110284,1.35699,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.08059,0.939725,0.805565,0.0509114,8.13945,3.07166,-0.110284,1.40477,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.001,1e-09,,,0.1,9.916643308080818e-10,,1,1
