time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
1,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.002338258035996705,,0.0322297,0.23871199999999998,0.183625,-0.11038699999999999,-0.0574821,9.20505,1.73452,0.3185
1,2,2,1,2,0,1,0,0.002500000000000001,3.966657323232325e-09,,,,,,,1,,-2.0529144378184368e-05,5.509184556882591e-05,-0.022499308592947843,2,3,0.1,,,0.0001401689298628721,0.0023382580359967006,,0.021376,0.235512,0.18116300000000002,-0.109097,-0.0603362,9.22643,1.7558900000000002,0.318103
1,3,2,1,2,0,1,0,0.0049999999999999975,3.966657323232319e-09,,,,,,,1,,-0.00016301900525647937,6.84749792266213e-05,-0.02499520873744088,3,4,0.1,,,0.0001401689298628721,0.002338258035996707,,0.016732499999999997,0.23299299999999998,0.179226,-0.107804,-0.0632179,9.243160000000001,1.77263,0.3177
1,4,2,1,2,0,1,0,0.0075000000000000015,3.96665732323233e-09,,,,,,,1,,-0.00022041440638945108,3.729963468670076e-05,-0.027494355364956286,4,5,0.1,,,0.0001401689298628721,0.0023382580359967045,,0.0148079,0.230767,0.177513,-0.10650799999999999,-0.0661211,9.25797,1.7874299999999999,0.317293
1,5,2,1,2,0,1,0,0.010000000000000002,3.9666573232323245e-09,,,,,,,1,,-0.00026650085975614803,-0.00011774478605930325,-0.029989117330838325,5,6,0.1,,,0.0001401689298628721,0.0023382580359967045,,0.014099200000000003,0.228665,0.175897,-0.10520999999999998,-0.0690433,9.27207,1.8015299999999999,0.31688299999999997
1,6,2,1,2,0,1,0,0.012500000000000002,3.9666573232323245e-09,,,,,,,1,,-0.0003706849648329752,-0.0002076744615206641,-0.03248532612132857,6,7,0.1,,,0.0001401689298628721,0.002338258035996698,,0.0139459,0.226615,0.174319,-0.10391099999999999,-0.0719835,9.286010000000001,1.81548,0.316473
1,7,2,1,2,0,1,0,0.014999999999999996,3.966657323232313e-09,,,,,,,1,,-0.00044194011181279106,-0.00032473659269046154,-0.03498156712761679,7,8,0.1,,,0.0001401689298628721,0.002338258035996706,,0.0140536,0.224583,0.172756,-0.10260899999999999,-0.07494160000000001,9.30006,1.8295299999999999,0.316062
1,8,2,1,2,0,1,0,0.017499999999999998,3.966657323232327e-09,,,,,,,1,,-0.0006892603802130576,-0.00040265772458832684,-0.03746808295946709,8,9,0.1,,,0.0001401689298628721,0.0021524382535732982,,0.014289600000000001,0.22255300000000003,0.171195,-0.101306,-0.0779176,9.31435,1.84382,0.315653
1,9,2,1,1,0,1,0,0.019801326693244744,3.65142975236372e-09,1.0908967680000001,464.2466809713208,0.9349642286541388,0.002349821361603641,1.8699284573082775,1.0885469466383966,1,1.9801326693244747,-0.0009721107671734546,-0.000569592592142363,-0.039745852253674004,10,1,0.1,,,0.0001401689298628721,0.0023382580359967028,7.0,-1.77573,0.0068851,0.00529623,-0.1,-0.080674,9.17282,1.70229,0.318885
1,10,3,1,2,1,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,11,10,0.1,,,1e-09,0.0001,,0.0577081,0.24352600000000002,0.187327,-0.11167300000000001,-0.0546701,9.11523,1.64458,0.319253
1,11,3,1,2,1,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,12,11,0.1,,,1e-09,0.0001,,0.136139,0.252361,0.194124,-0.11167300000000001,-0.05455309999999999,8.979280000000001,1.50844,0.319592
