C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.32493,0.688361,0.519546,-0.0399876,7.97082,5.139819999999999,-0.108723,1.7224099999999998,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.023382580359967018,0.0001401689283685923,,,0.1,0.0,,1,1
1.30644,0.617213,0.472438,-0.0471085,7.923710000000001,5.096830000000001,-0.107606,1.69838,,,,2,2,3,,3.4788151563901234e-05,-3.367359616680501e-05,-0.02249953113071871,,,2,0.002499999999999998,1,0,1,,2,0,0.023382580359967046,0.0001401689283685923,,,0.1,9.9166433080808e-10,,1,1
1.2924,0.543547,0.420572,-0.05186609999999999,7.87184,5.05905,-0.106495,1.68012,,,,2,3,4,,0.0002636575787991421,6.7292244754942e-05,-0.024986984584402613,,,3,0.004999999999999998,1,0,1,,2,0,0.02338258035996707,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,1
1.28101,0.46776599999999996,0.365153,-0.055418100000000005,7.81642,5.02629,-0.10539200000000001,1.6653200000000001,,,,2,4,5,,0.0005103969191327988,0.00039271132999788954,-0.02745340346952561,,,4,0.0075000000000000015,1,0,1,,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080822e-10,,1,1
1.2713299999999998,0.390024,0.306784,-0.0583691,7.75805,4.99843,-0.104296,1.65273,,,,2,5,6,,0.0009126021375325381,0.0004475531948027975,-0.029920228013784227,,,5,0.01,1,0,1,,2,0,0.023382580359967046,0.0001401689283685923,,,0.1,9.916643308080807e-10,,1,1
1.2626600000000001,0.310152,0.245633,-0.0611514,7.6969,4.97543,-0.103209,1.64146,,,,2,6,7,,0.0012608501025666964,0.0007922876736774556,-0.032371733978273115,,,6,0.0125,1,0,1,,2,0,0.02338258035996706,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,1
1.25387,0.22718000000000002,0.18118299999999998,-0.0644504,7.63245,4.9573,-0.10213,1.63004,,,,2,7,8,,0.0015698289588665212,0.0009255137764630791,-0.034848987068269416,,,7,0.015000000000000003,1,0,1,,2,0,0.023382580359966997,0.0001401689283685923,,,0.1,9.916643308080818e-10,,1,1
1.24066,0.136973,0.110403,-0.0707793,7.5616699999999994,4.94413,-0.10106,1.61286,,,,2,8,9,,0.0019233633217362967,0.0011918223322427432,-0.03730949376555532,,,8,0.017499999999999998,1,0,1,,2,0,0.021524382535733026,0.0001401689283685923,,,0.1,9.916643308080793e-10,,1,1
1.17458,0.756278,0.559534,-0.107384,8.0108,4.93692,-0.1,1.52696,0.002349821361603641,201.45305329803526,0.47337868800000005,1,10,1,7.0,0.002465398727526168,0.0014597343688347315,-0.039529972387060186,0.4710288666383964,1.8699284573082775,9,0.019801326693244747,1,0,1,1.9801326693244747,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.128574380909311e-10,0.9349642286541388,1,1
1.35162,0.819766,0.587541,-0.028007099999999997,8.070319999999999,5.18851,-0.109846,1.75711,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.39525,0.8767360000000001,0.587095,0.000445498,7.90343,5.18874,-0.109846,1.81382,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080818e-10,,1,1
1.49335,0.92481,0.518459,0.06863589999999999,7.8749199999999995,5.189030000000001,-0.109846,1.94135,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.78377,,,0.31147800000000003,,5.18952,-0.109846,2.31889,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,8.941302168257117e-10,,1,1
1.11275,1.36789,1.22929,-0.033517,15.6558,3.81722,-0.134403,1.4465700000000001,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.023382580359967018,0.0001401689283685923,,,0.1,0.0,,1,2
1.1002399999999999,1.31629,1.19636,-0.032923400000000005,15.6229,3.74736,-0.132208,1.43032,,,,2,2,3,,3.4788151563901234e-05,-3.367359616680501e-05,-0.02249953113071871,,,2,0.002499999999999998,1,0,1,,2,0,0.023382580359967046,0.0001401689283685923,,,0.1,9.9166433080808e-10,,1,2
1.0867,1.2641,1.16324,-0.033118199999999993,15.5898,3.6807800000000004,-0.130018,1.41272,,,,2,3,4,,0.0002636575787991421,6.7292244754942e-05,-0.024986984584402613,,,3,0.004999999999999998,1,0,1,,2,0,0.02338258035996707,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,2
1.07257,1.2113399999999999,1.1293799999999998,-0.0338624,15.5559,3.61746,-0.127833,1.39434,,,,2,4,5,,0.0005103969191327988,0.00039271132999788954,-0.02745340346952561,,,4,0.0075000000000000015,1,0,1,,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080822e-10,,1,2
1.0581200000000002,1.06972,1.01096,-0.0350053,15.5209,3.5574,-0.125653,1.37555,,,,3,5,6,,0.0009126021375325381,0.0004475531948027975,-0.029920228013784227,,,5,0.01,1,0,1,,2,0,0.023382580359967046,0.0001401689283685923,,,0.1,9.916643308080807e-10,,1,2
1.04293,1.01559,0.973786,-0.0371739,15.4837,3.50489,-0.123477,1.35581,,,,2,6,7,,0.0012608501025666964,0.0007922876736774556,-0.032371733978273115,,,6,0.0125,1,0,1,,2,0,0.02338258035996706,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,2
1.02807,0.960609,0.9343819999999999,-0.0394041,15.4443,3.4555300000000004,-0.121307,1.33649,,,,2,7,8,,0.0015698289588665212,0.0009255137764630791,-0.034848987068269416,,,7,0.015000000000000003,1,0,1,,2,0,0.023382580359966997,0.0001401689283685923,,,0.1,9.916643308080818e-10,,1,2
1.01346,0.9046629999999999,0.892648,-0.0417343,15.4026,3.40929,-0.11914200000000001,1.3175,,,,2,8,9,,0.0019233633217362967,0.0011918223322427432,-0.03730949376555532,,,8,0.017499999999999998,1,0,1,,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080793e-10,,1,2
0.9990209999999999,0.747005,0.747737,-0.0442059,15.3584,3.3661199999999996,-0.11698299999999999,1.29873,,,,3,9,16,,0.0025121925907194307,0.0014828631885653266,-0.03972166608774538,,,9,0.019999999999999997,1,0,1,,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080807e-10,,1,2
1.12353,0.688347,0.699871,-0.035274400000000004,15.3105,3.89028,-0.136602,1.46059,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,3,2,,3,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080807e-10,,1,2
1.1315,0.627551,0.648185,-0.0310827,15.2588,3.8906099999999997,-0.136602,1.47095,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,3,2,,3,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080818e-10,,1,2
1.14157,0.563587,0.592055,-0.0257375,15.2027,3.89094,-0.136602,1.48404,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,3,2,,3,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.916643308080807e-10,,1,2
1.15458,0.49429700000000004,0.529933,-0.018763,15.1405,3.8913,-0.136602,1.50095,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,3,2,,3,0,0.023382580359966997,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,2
0.955305,0.41495699999999996,0.458125,-0.080962,15.0687,3.54737,-0.1,1.2419,0.000660887257951024,461.5619083740989,0.305040384,1,20,21,16.0,-0.00042445300412697186,0.0013425625517836017,-0.0307972617132947,0.30437949674204895,0.9349642286541388,14,0.011832470002755394,2,1,3,0.1832470002755393,2,1,0.023382580359967122,0.0001401689283685923,,,0.075,7.268780556033241e-10,0.9349642286541388,6,2
